method,height,width,channels,filters,kernel,stride,padding,block_x,block_y,output_height,output_width,warmup,runs,mean_ms,min_ms,max_ms,gflops,verified,status
direct,1024,1024,3,3,3,3,1,8,8,342,342,3,10,0.031677,0.031456,0.031744,598.171789,true,ok
direct-shared,1024,1024,3,3,3,3,1,8,8,342,342,3,10,0.082730,0.081920,0.082944,229.037351,true,ok
direct,1024,1024,3,3,3,3,1,16,16,342,342,3,10,0.029546,0.028672,0.029696,641.319441,true,ok
direct-shared,1024,1024,3,3,3,3,1,16,16,342,342,3,10,0.088746,0.088064,0.089088,213.511072,true,ok
direct,1024,1024,3,3,3,3,1,32,8,342,342,3,10,0.028070,0.027648,0.028672,675.023082,true,ok
direct-shared,1024,1024,3,3,3,3,1,32,8,342,342,3,10,0.088093,0.087040,0.091072,215.093267,true,ok
direct,1024,1024,3,3,3,3,1,32,16,342,342,3,10,0.028512,0.028352,0.028672,664.568171,true,ok
direct-shared,1024,1024,3,3,3,3,1,32,16,342,342,3,10,0.091114,0.090112,0.091872,207.962015,true,ok
im2col,1024,1024,3,3,3,3,1,16,16,342,342,3,10,0.206013,0.205728,0.206848,91.975684,true,ok
cudnn,1024,1024,3,3,3,3,1,0,0,342,342,3,10,0.075930,0.075648,0.076640,249.549154,true,ok
direct,2048,2048,3,3,3,1,0,8,8,2046,2046,3,10,1.168461,1.165312,1.177600,580.379572,true,ok
direct-shared,2048,2048,3,3,3,1,0,8,8,2046,2046,3,10,1.364560,1.358848,1.373184,496.973970,true,ok
direct,2048,2048,3,3,3,1,0,16,16,2046,2046,3,10,1.034582,1.031296,1.043456,655.482637,true,ok
direct-shared,2048,2048,3,3,3,1,0,16,16,2046,2046,3,10,1.601190,1.571840,1.631232,423.529133,true,ok
direct,2048,2048,3,3,3,1,0,32,8,2046,2046,3,10,1.007053,0.993088,1.034240,673.401428,true,ok
direct-shared,2048,2048,3,3,3,1,0,32,8,2046,2046,3,10,1.514237,1.501184,1.538048,447.849889,true,ok
direct,2048,2048,3,3,3,1,0,32,16,2046,2046,3,10,1.140269,1.132544,1.162240,594.728884,true,ok
direct-shared,2048,2048,3,3,3,1,0,32,16,2046,2046,3,10,1.690128,1.677312,1.715200,401.242267,true,ok
im2col,2048,2048,3,3,3,1,0,16,16,2046,2046,3,10,8.132125,8.019744,8.396800,83.391587,true,ok
cudnn,2048,2048,3,3,3,1,0,0,0,2046,2046,3,10,2.069037,2.054112,2.125696,327.761595,true,ok
direct,2048,2048,3,3,3,1,1,8,8,2048,2048,3,10,1.165043,1.163936,1.166272,583.220629,true,ok
direct-shared,2048,2048,3,3,3,1,1,8,8,2048,2048,3,10,1.345018,1.341440,1.354752,505.180943,true,ok
direct,2048,2048,3,3,3,1,1,16,16,2048,2048,3,10,1.009338,1.008512,1.010848,673.191255,true,ok
direct-shared,2048,2048,3,3,3,1,1,16,16,2048,2048,3,10,1.500890,1.452032,1.567744,452.716341,true,ok
